,score_home,score_away,spread_favorite,spread_covered,over_under_line,over_under_result,home_team_fav,home_win%,home_team_ppg,home_team_oppg,home_p_diff,away_win%,away_team_ppg,away_team_oppg,away_p_diff,home_win_exp,away_win_exp
0,32,31,-3.0,0,38.5,1,1,0.0,16.0,21.0,-5.0,0.0,14.0,41.0,-27.0,0.187,0.002
1,39,36,-3.0,1,36.5,1,1,1.0,16.0,0.0,16.0,1.0,27.0,7.0,20.0,1.0,0.999
2,27,18,-6.0,1,38.5,1,1,1.0,16.0,13.0,3.0,0.0,16.0,20.0,-4.0,0.741,0.232
3,42,14,-4.5,1,47.0,1,1,0.0,36.0,41.0,-5.0,1.0,36.0,28.0,8.0,0.3,0.827
4,15,10,-5.5,0,43.0,0,0,1.0,14.0,10.0,4.0,1.0,20.0,17.0,3.0,0.833,0.707
5,31,38,-6.5,0,44.0,1,1,1.0,27.0,14.0,13.0,1.0,9.0,6.0,3.0,0.975,0.838
6,13,7,-3.0,1,42.5,0,1,1.0,30.0,27.0,3.0,1.0,23.0,0.0,23.0,0.655,1.0
7,18,33,-3.0,0,39.5,1,1,1.0,41.0,14.0,27.0,1.0,21.0,16.0,5.0,0.998,0.813
8,27,28,-5.5,0,35.5,1,1,0.0,6.0,9.0,-3.0,0.0,10.0,14.0,-4.0,0.162,0.167
9,22,38,-3.0,1,48.0,1,0,0.0,28.0,36.0,-8.0,0.0,17.0,20.0,-3.0,0.173,0.293
10,34,37,-7.5,0,46.0,1,0,0.0,0.0,23.0,-23.0,1.0,41.0,36.0,5.0,0.0,0.7
11,41,0,-7.0,1,36.5,1,1,1.0,21.0,16.0,5.0,0.0,27.0,30.0,-3.0,0.813,0.345
12,17,14,-8.5,0,38.5,0,1,0.0,13.0,16.0,-3.0,0.0,14.0,27.0,-13.0,0.259,0.025
13,20,19,-6.5,0,39.5,0,1,1.0,20.0,16.0,4.0,0.0,16.0,21.0,-5.0,0.768,0.187
14,10,15,-6.0,0,48.5,0,1,0.5,27.5,21.0,6.5,0.5,25.0,35.0,-10.0,0.828,0.112
15,7,14,-2.0,0,42.0,0,1,0.0,13.5,35.5,-22.0,1.0,27.0,17.0,10.0,0.004,0.933
16,23,20,-2.5,0,35.5,1,0,0.5,15.5,17.0,-1.5,0.0,0.0,16.0,-16.0,0.382,0.0
17,10,31,-3.0,1,34.5,1,0,1.0,14.5,10.0,4.5,1.0,31.0,8.0,23.0,0.856,0.999
18,6,3,-4.0,0,42.5,0,1,0.0,17.0,23.5,-6.5,0.5,29.5,23.5,6.0,0.142,0.795
19,13,0,-13.0,1,41.0,0,1,0.5,31.5,23.0,8.5,0.0,7.0,24.0,-17.0,0.868,0.002
20,42,10,-4.5,1,35.5,1,1,0.0,14.0,22.0,-8.0,0.0,16.5,18.5,-2.0,0.081,0.352
21,19,6,-1.5,0,34.5,0,0,0.5,15.0,6.5,8.5,1.0,27.5,18.0,9.5,0.979,0.919
22,13,21,-1.5,0,42.5,0,1,0.0,17.5,20.5,-3.0,1.0,21.5,17.0,4.5,0.297,0.783
23,27,14,-1.0,1,38.5,1,1,1.0,20.0,17.5,2.5,1.0,21.5,15.5,6.0,0.674,0.855
24,24,33,-3.0,0,44.0,1,1,1.0,23.5,18.5,5.0,0.5,39.0,27.5,11.5,0.793,0.9
25,20,10,-6.0,1,40.0,0,1,0.0,17.0,30.0,-13.0,0.5,19.0,20.5,-1.5,0.036,0.397
26,41,24,-17.0,1,55.5,1,1,1.0,39.0,35.0,4.0,0.0,25.0,37.0,-12.0,0.668,0.081
27,21,27,-10.5,0,44.0,1,1,0.5,15.0,16.0,-1.0,0.0,22.5,36.5,-14.0,0.418,0.049
28,3,29,-1.0,0,42.0,0,1,0.5,24.0,26.0,-2.0,0.33299999999999996,13.33,16.67,-3.34,0.385,0.242
29,20,41,-6.5,1,55.0,1,0,0.667,21.67,26.67,-5.0,1.0,39.67,31.33,8.34,0.23,0.819
30,37,0,-11.5,1,38.0,0,1,0.667,20.33,18.33,2.0,0.0,3.5,18.5,-15.0,0.638,0.0
31,14,21,-1.0,0,37.5,0,1,0.0,11.33,28.33,-17.0,0.667,13.0,17.0,-4.0,0.006,0.203
32,24,41,-6.5,0,47.0,1,1,0.33299999999999996,24.0,31.33,-7.33,0.0,24.67,38.33,-13.66,0.167,0.061
33,22,23,-7.0,0,43.0,1,1,0.667,37.0,26.33,10.67,0.33299999999999996,23.33,18.0,5.33,0.893,0.81
34,10,3,-4.5,1,34.5,0,1,0.667,16.33,6.33,10.0,0.0,16.0,20.67,-4.67,0.988,0.2
35,7,21,-1.5,0,38.0,0,1,0.33299999999999996,16.0,20.33,-4.33,0.33299999999999996,20.67,17.67,3.0,0.216,0.702
36,6,16,-1.0,0,42.0,0,1,1.0,22.67,13.67,9.0,0.33299999999999996,17.0,19.67,-2.67,0.939,0.313
37,36,10,-10.5,1,40.5,1,1,0.667,23.67,23.33,0.34,0.667,18.0,18.0,0.0,0.521,0.5
38,20,23,-7.0,0,36.0,1,0,0.0,10.0,19.5,-9.5,0.5,15.0,15.0,0.0,0.033,0.5
39,12,20,-2.5,1,36.0,0,0,0.0,14.33,26.33,-12.0,0.33299999999999996,18.0,23.33,-5.33,0.033,0.19
40,17,21,-7.0,0,36.0,1,1,1.0,31.0,8.67,22.33,1.0,22.33,16.33,6.0,0.999,0.848
41,43,14,-3.5,1,45.0,1,1,0.5,29.0,26.0,3.0,0.667,25.33,15.33,10.0,0.658,0.942
42,16,18,-1.5,0,44.0,0,1,0.667,19.0,19.33,-0.33,0.667,33.67,22.0,11.67,0.476,0.929
43,13,16,-6.5,0,47.5,0,1,0.33299999999999996,21.67,19.0,2.67,0.25,24.0,33.75,-9.75,0.675,0.112
44,16,31,-7.0,1,33.0,1,0,0.0,2.33,24.67,-22.34,0.75,14.75,5.5,9.25,0.0,0.988
45,0,12,-8.5,1,37.0,0,0,0.5,16.0,22.5,-6.5,0.75,24.5,13.75,10.75,0.134,0.959
46,19,28,-8.5,0,41.0,1,1,0.5,33.25,25.5,7.75,0.0,12.75,18.0,-5.25,0.835,0.145
47,24,31,-1.0,0,42.5,1,1,0.75,15.0,16.25,-1.25,1.0,21.33,15.67,5.66,0.398,0.842
48,24,27,-5.5,0,41.0,1,1,0.5,17.25,13.25,4.0,0.0,12.0,26.5,-14.5,0.795,0.013
49,13,24,-11.0,0,38.5,0,1,0.5,22.5,22.25,0.25,0.0,13.33,20.67,-7.34,0.516,0.089
50,38,10,-3.0,1,41.5,1,1,0.5,20.75,15.0,5.75,0.5,21.25,30.25,-9.0,0.851,0.11
51,27,20,-3.5,1,47.5,0,1,0.25,28.75,34.75,-6.0,0.33299999999999996,17.0,27.0,-10.0,0.235,0.067
52,57,31,-17.0,1,53.5,1,1,1.0,40.0,28.5,11.5,0.0,13.75,24.75,-11.0,0.896,0.038
53,28,14,-5.0,1,38.0,1,1,0.667,17.67,16.67,1.0,0.75,18.5,14.25,4.25,0.577,0.797
54,20,17,-1.5,1,36.0,1,1,0.5,16.75,16.25,0.5,0.75,27.5,11.75,15.75,0.54,0.991
55,24,17,-4.0,1,38.5,1,1,0.5,23.25,19.0,4.25,0.5,18.5,20.5,-2.0,0.756,0.363
56,29,21,-4.5,1,40.5,1,1,0.25,17.75,27.0,-9.25,0.4,12.8,20.4,-7.6,0.084,0.08
57,6,13,-1.0,0,42.0,0,1,0.4,19.0,31.8,-12.8,0.6,17.6,17.0,0.6,0.046,0.546
58,26,3,-3.5,1,43.0,0,1,0.25,19.5,18.25,1.25,0.4,18.2,21.2,-3.0,0.589,0.301
59,10,31,-5.5,0,40.0,1,1,0.2,15.0,26.0,-11.0,0.25,13.75,20.5,-6.75,0.045,0.107
60,14,23,-10.0,0,38.0,0,0,0.0,5.75,26.25,-20.5,0.75,20.25,16.0,4.25,0.0,0.781
61,31,24,-3.0,1,43.0,1,1,0.6,16.8,19.2,-2.4,0.4,18.6,16.0,2.6,0.328,0.69
62,10,15,-2.5,0,37.5,0,1,0.4,20.6,22.6,-2.0,0.8,22.0,11.0,11.0,0.372,0.974
63,22,13,-2.0,1,34.5,1,1,0.8,18.0,7.6,10.4,0.5,18.25,19.0,-0.75,0.985,0.446
64,24,16,-3.5,0,43.5,0,0,0.2,15.8,18.2,-2.4,0.75,29.75,20.5,9.25,0.321,0.899
65,3,20,-8.0,0,37.5,0,1,1.0,22.0,16.5,5.5,0.25,16.0,18.75,-2.75,0.829,0.301
66,14,17,-3.5,0,37.5,0,0,0.6,24.2,14.0,10.2,0.6,17.4,16.4,1.0,0.952,0.578
67,7,21,-6.5,1,43.0,0,0,0.0,17.2,31.2,-14.0,0.4,30.4,26.0,4.4,0.03,0.72
68,28,34,-4.5,1,48.5,1,0,0.4,28.4,31.8,-3.4,0.75,26.75,20.0,6.75,0.333,0.843
69,30,23,-1.0,1,39.0,1,1,1.0,23.75,17.75,6.0,0.6,25.4,13.4,12.0,0.836,0.971
70,14,33,-2.5,1,39.0,1,0,0.4,20.0,25.8,-5.8,0.5,22.5,14.5,8.0,0.188,0.915
71,27,24,-10.0,0,36.5,1,1,0.4,17.2,19.6,-2.4,0.0,15.5,29.5,-14.0,0.33,0.025
72,16,28,-6.0,1,44.0,0,0,0.16699999999999998,14.17,26.83,-12.66,1.0,25.0,18.8,6.2,0.028,0.834
73,44,10,-12.5,1,44.0,1,1,0.5,28.83,22.83,6.0,0.33299999999999996,14.17,21.83,-7.66,0.799,0.089
74,31,28,-4.5,0,49.5,1,1,0.33299999999999996,19.5,18.5,1.0,0.33299999999999996,28.33,32.17,-3.84,0.571,0.314
75,17,20,-3.0,0,43.5,0,1,0.6,23.4,18.6,4.8,0.8,28.2,21.6,6.6,0.784,0.827
76,17,34,-3.0,0,37.0,1,1,0.33299999999999996,17.17,17.83,-0.66,0.8,18.2,17.2,1.0,0.45,0.575
77,24,6,0.0,0,40.5,0,0,0.4,17.2,18.4,-1.2,0.4,20.8,15.2,5.6,0.411,0.844
78,19,14,-4.0,1,40.5,0,1,0.667,16.83,15.17,1.66,0.4,22.4,29.6,-7.2,0.632,0.161
79,15,0,-8.5,1,37.0,0,1,0.4,16.8,15.6,1.2,0.0,7.4,25.6,-18.2,0.595,0.001
80,24,37,-5.5,1,44.0,1,0,0.33299999999999996,15.67,22.0,-6.33,0.6,27.0,21.2,5.8,0.136,0.803
81,45,29,-18.0,0,58.5,1,1,1.0,43.4,29.0,14.4,0.33299999999999996,16.83,28.67,-11.84,0.93,0.045
82,10,3,-3.5,1,34.5,0,1,0.667,17.33,16.0,1.33,0.833,20.83,10.83,10.0,0.603,0.967
83,27,13,-6.0,1,38.0,1,1,0.8,20.8,15.6,5.2,0.33299999999999996,18.83,21.33,-2.5,0.825,0.334
84,14,28,-8.0,0,37.5,1,1,0.5,25.0,16.17,8.83,0.667,19.17,20.0,-0.83,0.919,0.442
85,19,21,-1.5,1,40.0,0,0,0.28600000000000003,18.57,31.0,-12.43,0.5,18.33,16.33,2.0,0.047,0.649
86,6,14,-1.0,0,35.0,0,1,0.7140000000000001,18.29,10.71,7.58,0.833,21.83,15.17,6.66,0.937,0.878
87,34,16,-3.0,1,50.0,0,1,0.33299999999999996,18.33,16.67,1.66,0.28600000000000003,28.29,32.0,-3.71,0.624,0.319
88,31,21,-10.0,0,43.0,1,0,0.0,6.17,23.83,-17.66,0.5710000000000001,31.0,21.0,10.0,0.001,0.91
89,48,7,-7.0,1,41.5,1,1,0.33299999999999996,21.0,27.83,-6.83,0.33299999999999996,19.0,27.0,-8.0,0.162,0.117
90,30,23,-8.5,0,47.0,1,1,0.667,28.67,21.67,7.0,0.28600000000000003,17.14,20.14,-3.0,0.838,0.294
91,16,35,-4.0,1,36.0,1,0,0.28600000000000003,18.0,22.14,-4.14,0.7140000000000001,16.29,14.14,2.15,0.241,0.674
92,54,34,-7.0,0,56.0,1,0,0.5,22.33,18.83,3.5,1.0,43.67,29.0,14.67,0.721,0.933
93,31,27,-6.5,0,44.5,1,1,1.0,25.5,18.33,7.17,0.5,18.83,20.33,-1.5,0.867,0.396
94,31,3,-7.5,1,44.0,0,1,0.833,26.83,20.83,6.0,0.28600000000000003,16.86,24.14,-7.28,0.813,0.119
95,13,9,-6.5,0,41.0,0,1,0.5710000000000001,24.0,14.43,9.57,0.14300000000000002,14.43,27.0,-12.57,0.942,0.029
96,22,0,-9.0,1,37.5,0,1,0.5,16.5,13.0,3.5,0.28600000000000003,13.57,25.0,-11.43,0.77,0.034
97,40,37,-3.0,1,35.0,1,1,0.833,20.83,17.17,3.66,0.833,18.67,8.5,10.17,0.742,0.98
98,10,21,-6.0,1,41.0,0,0,0.28600000000000003,17.29,30.0,-12.71,0.5710000000000001,18.71,16.71,2.0,0.04,0.647
99,13,12,-3.0,0,45.5,0,0,0.25,18.62,29.75,-11.13,0.429,20.57,16.57,4.0,0.061,0.764
100,6,9,-4.5,0,33.0,0,1,0.625,16.75,11.12,5.63,0.5710000000000001,17.29,11.14,6.15,0.885,0.901
101,23,20,-3.5,0,41.0,1,1,0.429,20.0,21.86,-1.86,0.857,23.57,20.0,3.57,0.378,0.717
102,3,12,-3.0,1,35.5,0,0,0.25,11.88,24.62,-12.74,0.14300000000000002,9.71,23.43,-13.72,0.019,0.01
103,17,23,-4.0,0,44.5,0,1,0.429,24.86,24.86,0.0,0.25,17.75,23.75,-6.0,0.5,0.164
104,30,18,-7.0,1,47.0,1,1,0.7140000000000001,28.86,21.86,7.0,0.7140000000000001,20.43,19.14,1.29,0.837,0.589
105,28,20,-4.5,1,38.5,1,1,0.7140000000000001,21.29,13.0,8.29,0.429,21.14,19.86,1.28,0.932,0.586
106,24,7,-3.5,1,37.0,0,1,0.7140000000000001,17.14,15.0,2.14,0.625,22.62,13.75,8.87,0.667,0.936
107,13,15,-6.5,0,42.5,0,0,0.0,16.71,29.14,-12.43,0.857,27.43,18.29,9.14,0.04,0.911
108,24,34,-7.0,1,63.0,0,0,0.25,26.75,32.25,-5.5,0.857,42.29,32.57,9.72,0.242,0.844
109,19,24,-4.0,1,43.0,0,0,0.25,15.12,25.0,-9.88,0.5710000000000001,26.86,21.0,5.86,0.058,0.807
110,41,13,-3.0,1,41.0,1,1,0.429,23.43,17.86,5.57,1.0,26.29,19.57,6.72,0.82,0.845
111,21,27,-4.0,0,37.5,1,1,0.75,18.62,14.38,4.24,0.857,20.71,13.86,6.85,0.795,0.894
112,16,15,-10.0,0,40.0,0,0,0.25,16.38,28.88,-12.5,0.667,18.89,15.78,3.11,0.038,0.722
113,14,27,-7.0,1,40.0,1,0,0.33299999999999996,18.0,27.78,-9.78,0.5,25.62,17.25,8.37,0.077,0.903
114,27,24,-7.0,0,45.0,1,0,0.125,13.75,25.25,-11.5,0.75,29.0,21.38,7.62,0.034,0.857
115,7,27,-6.0,1,32.5,1,0,0.25,10.0,20.88,-10.88,0.556,15.56,10.89,4.67,0.022,0.852
116,3,24,-10.0,1,33.5,0,0,0.222,10.89,23.22,-12.33,0.75,18.0,14.0,4.0,0.018,0.787
117,8,23,-2.5,0,39.0,0,1,0.625,20.12,20.5,-0.38,0.75,22.12,13.88,8.24,0.474,0.924
118,13,16,-2.0,0,39.0,0,1,0.25,17.88,21.38,-3.5,0.5,20.38,21.62,-1.24,0.272,0.418
119,31,15,-5.5,1,48.0,0,1,0.625,19.0,15.88,3.12,0.222,26.44,32.44,-6.0,0.722,0.223
120,23,30,-3.0,0,45.5,1,1,0.75,23.12,20.38,2.74,0.5,29.75,22.25,7.5,0.671,0.848
121,49,31,-3.5,1,44.0,1,1,0.875,25.88,17.62,8.26,0.625,26.5,20.75,5.75,0.898,0.804
122,16,13,-3.0,1,40.0,0,1,0.556,20.89,14.89,6.0,0.375,23.88,24.62,-0.74,0.86,0.456
123,17,15,-4.5,0,39.5,0,1,0.222,15.56,24.89,-9.33,0.0,16.25,27.38,-11.13,0.069,0.05
124,24,27,-13.5,0,59.5,0,1,0.875,41.25,31.5,9.75,0.375,19.5,16.12,3.38,0.85,0.735
125,9,7,-8.0,0,36.5,0,1,0.875,21.5,14.75,6.75,0.625,16.25,10.5,5.75,0.884,0.896
126,26,20,-3.5,0,47.5,0,0,0.375,21.0,20.88,0.12,0.875,24.62,22.25,2.37,0.508,0.642
127,20,3,-7.0,1,39.5,0,1,0.556,19.89,20.67,-0.78,0.222,15.22,25.11,-9.89,0.447,0.059
128,10,20,-2.0,1,37.5,0,0,0.444,20.33,17.0,3.33,0.667,20.33,15.78,4.55,0.725,0.796
129,19,11,-7.0,0,32.0,0,0,0.2,10.1,23.3,-13.2,0.222,17.33,20.78,-3.45,0.012,0.271
130,23,6,-8.5,1,39.0,0,1,0.33299999999999996,22.67,23.67,-1.0,0.222,9.67,21.56,-11.89,0.438,0.016
131,13,10,-8.5,0,40.0,0,1,0.556,18.78,20.78,-2.0,0.3,17.6,27.7,-10.1,0.364,0.07
132,23,15,-6.0,1,52.5,0,1,0.667,28.44,22.0,6.44,0.667,23.11,21.44,1.67,0.819,0.605
133,21,28,-7.5,0,40.5,1,1,0.33299999999999996,18.33,23.0,-4.67,0.3,15.7,23.9,-8.2,0.22,0.09
134,31,14,-12.5,1,46.0,0,1,0.778,24.11,22.67,1.44,0.33299999999999996,16.33,27.33,-11.0,0.588,0.051
135,24,38,-2.0,1,48.5,1,0,0.778,18.67,12.78,5.89,0.778,39.33,31.0,8.33,0.877,0.82
136,23,26,-3.5,0,33.0,1,1,0.556,15.22,10.33,4.89,0.6,20.4,14.7,5.7,0.868,0.852
137,7,17,-5.0,1,33.5,0,0,0.0,16.11,26.22,-10.11,0.778,22.22,13.22,9.0,0.061,0.942
138,21,7,-3.5,0,52.0,0,0,0.2,25.3,32.3,-7.0,0.556,27.0,23.89,3.11,0.185,0.673
139,20,15,-9.0,0,42.0,0,1,0.556,25.78,16.89,8.89,0.444,21.56,20.78,0.78,0.915,0.552
140,23,24,-4.0,0,33.0,1,1,0.889,20.11,13.89,6.22,0.6,16.7,10.5,6.2,0.876,0.909
141,27,24,-3.0,1,50.0,1,1,0.556,29.78,22.33,7.45,0.889,28.44,19.11,9.33,0.846,0.909
142,27,0,-7.0,1,36.0,0,1,0.636,17.36,11.64,5.72,0.4,22.7,21.9,0.8,0.883,0.551
143,13,10,-8.0,0,36.0,0,0,0.2,14.0,24.6,-10.6,0.6,25.2,16.7,8.5,0.044,0.909
144,38,37,-9.5,0,42.5,1,1,0.6,29.5,22.5,7.0,0.0,15.2,25.3,-10.1,0.833,0.056
145,26,24,-6.0,0,46.0,1,0,0.4,20.9,20.7,0.2,0.7,27.9,21.3,6.6,0.513,0.829
146,17,21,-3.0,0,42.0,0,1,0.5,25.0,23.6,1.4,0.6,19.9,18.9,1.0,0.583,0.57
147,3,20,-3.5,0,38.5,0,1,0.8,21.7,12.6,9.1,0.6,22.3,21.6,0.7,0.947,0.545
148,31,17,-9.5,1,46.5,1,1,0.8,24.8,21.8,3.0,0.4,19.3,17.3,2.0,0.678,0.644
149,16,13,-7.0,0,36.0,0,1,0.2,16.7,20.6,-3.9,0.2,9.3,21.7,-12.4,0.242,0.013
150,22,31,-3.0,1,43.0,1,0,0.7,20.3,15.2,5.1,0.8,28.0,19.9,8.1,0.825,0.879
151,21,31,-5.0,0,36.5,1,1,0.7,19.2,15.3,3.9,0.6,18.2,19.7,-1.5,0.77,0.394
152,34,9,-7.0,1,38.0,1,1,0.636,20.91,15.45,5.46,0.3,16.1,27.7,-11.6,0.836,0.044
153,24,34,-3.0,0,37.0,1,1,0.5,16.0,11.9,4.1,0.3,18.6,23.5,-4.9,0.814,0.212
154,16,6,-5.5,1,47.5,0,1,0.273,24.91,30.0,-5.09,0.273,16.91,26.36,-9.45,0.247,0.075
155,24,10,-16.0,0,35.5,0,1,0.8,20.4,14.9,5.5,0.273,10.91,22.18,-11.27,0.843,0.024
156,20,33,-5.5,0,56.0,0,1,0.8,39.2,30.3,8.9,0.6,18.5,15.8,2.7,0.837,0.698
157,15,27,-7.0,1,48.0,0,0,0.364,20.64,22.36,-1.72,0.818,25.36,21.36,4.0,0.389,0.729
158,34,9,-6.5,1,38.0,1,1,0.636,19.36,19.82,-0.46,0.273,16.64,19.91,-3.27,0.468,0.275
159,7,31,-6.0,1,39.0,0,0,0.273,15.45,28.27,-12.82,0.636,19.36,16.73,2.63,0.032,0.687
160,44,7,-15.0,1,34.0,1,1,0.667,18.17,10.67,7.5,0.25,10.83,22.33,-11.5,0.936,0.022
161,28,48,-4.0,1,34.0,1,0,0.182,9.64,21.18,-11.54,0.455,16.73,13.91,2.82,0.017,0.721
162,14,17,-5.5,0,44.5,0,1,0.636,27.55,21.73,5.82,0.727,20.0,13.27,6.73,0.8,0.896
163,16,13,-3.0,0,41.5,0,0,0.364,20.0,23.55,-3.55,0.818,20.73,14.45,6.28,0.284,0.873
164,17,10,-7.0,1,39.5,0,1,0.636,22.09,19.91,2.18,0.273,13.91,23.27,-9.36,0.642,0.058
165,41,14,-11.0,1,44.0,1,1,0.818,28.27,20.09,8.18,0.25,16.0,25.5,-9.5,0.879,0.069
166,17,16,-3.0,0,41.0,0,0,0.0,17.18,26.45,-9.27,0.455,24.27,23.36,0.91,0.08,0.555
167,31,38,-3.0,1,45.5,1,0,0.364,16.82,23.64,-6.82,0.636,30.27,23.82,6.45,0.131,0.808
168,24,31,-13.5,0,53.5,1,1,0.727,37.45,30.55,6.9,0.636,20.45,16.64,3.81,0.784,0.754
169,31,17,-4.0,1,37.0,1,1,0.545,23.82,16.36,7.46,0.636,20.0,18.73,1.27,0.889,0.589
170,20,23,-7.0,0,37.0,1,1,0.636,19.82,16.18,3.64,0.667,22.0,14.92,7.08,0.749,0.891
171,31,14,0.0,0,44.0,1,0,0.364,19.09,18.55,0.54,0.455,21.36,21.0,0.36,0.539,0.524
172,24,17,-9.0,0,48.5,0,1,0.833,25.5,20.83,4.67,0.667,20.58,18.92,1.66,0.762,0.614
173,10,30,0.0,0,42.0,0,0,0.231,15.85,26.69,-10.84,0.33299999999999996,18.0,24.83,-6.83,0.051,0.14
174,6,33,-3.5,0,36.0,1,1,0.583,19.75,19.75,0.0,0.75,19.75,13.33,6.42,0.5,0.887
175,16,3,-8.0,0,58.0,0,0,0.41700000000000004,20.08,18.17,1.91,0.667,36.33,30.58,5.75,0.633,0.748
176,6,28,-2.5,1,39.0,0,0,0.25,13.58,22.75,-9.17,0.41700000000000004,20.75,21.83,-1.08,0.058,0.429
177,24,13,-4.0,1,38.5,0,1,0.16699999999999998,11.17,23.42,-12.25,0.25,14.75,28.5,-13.75,0.019,0.024
178,48,0,-14.5,1,39.0,1,1,0.41700000000000004,19.67,22.67,-3.0,0.231,10.54,24.0,-13.46,0.311,0.012
179,23,38,0.0,0,45.0,1,0,0.667,21.33,17.25,4.08,0.667,30.92,24.42,6.5,0.762,0.805
180,27,17,-2.5,1,44.0,0,1,0.667,21.67,19.08,2.59,0.583,26.42,21.33,5.09,0.67,0.776
181,13,15,-3.0,0,36.5,0,0,0.6920000000000001,22.08,15.31,6.77,0.75,20.08,14.58,5.5,0.88,0.846
182,21,20,-3.0,0,42.0,0,0,0.5,19.33,15.08,4.25,0.833,29.33,19.58,9.75,0.789,0.914
183,17,45,-2.5,1,44.0,1,0,0.083,17.17,25.58,-8.41,0.33299999999999996,24.17,28.0,-3.83,0.096,0.295
184,27,7,-10.0,1,37.0,0,1,0.583,24.42,16.42,8.0,0.33299999999999996,20.17,22.75,-2.58,0.901,0.337
185,7,9,-6.0,0,38.0,0,1,0.583,19.83,16.75,3.08,0.667,20.33,15.92,4.41,0.713,0.789
186,30,24,-1.0,1,41.0,1,1,0.25,16.0,21.08,-5.08,0.41700000000000004,23.58,22.83,0.75,0.183,0.546
187,24,3,-13.5,1,36.5,0,1,0.6920000000000001,20.15,10.38,9.77,0.077,17.15,27.08,-9.93,0.968,0.069
188,24,17,-2.0,1,36.5,1,1,0.231,13.0,23.15,-10.15,0.308,17.08,21.31,-4.23,0.043,0.23
189,24,35,-14.0,0,35.5,1,0,0.214,9.79,25.71,-15.92,0.643,21.43,15.29,6.14,0.006,0.861
190,32,13,-6.0,0,39.0,1,0,0.308,19.15,23.08,-3.93,0.5379999999999999,18.85,16.15,2.7,0.26,0.695
191,31,24,-10.0,0,48.0,1,1,0.6920000000000001,31.46,24.31,7.15,0.385,18.92,23.69,-4.77,0.826,0.22
192,26,13,-3.5,1,41.0,0,1,0.462,21.31,20.62,0.69,0.615,20.31,19.31,1.0,0.546,0.569
193,44,10,-15.0,1,42.0,1,1,0.462,21.85,20.92,0.93,0.231,14.62,28.15,-13.53,0.561,0.024
194,15,14,-2.5,0,42.0,0,1,0.385,23.62,23.38,0.24,0.462,19.77,17.0,2.77,0.515,0.693
195,13,16,-2.5,0,34.5,0,1,0.769,20.77,12.77,8.0,0.615,24.62,15.69,8.93,0.928,0.924
196,30,10,-3.5,1,35.5,1,1,0.6920000000000001,19.46,15.23,4.23,0.5379999999999999,19.46,15.46,4.0,0.786,0.773
197,31,7,-3.5,1,47.0,0,1,0.769,28.62,19.69,8.93,0.6920000000000001,22.08,18.92,3.16,0.898,0.703
198,27,31,-3.0,0,47.5,1,1,0.385,25.77,27.15,-1.38,0.615,21.46,18.85,2.61,0.423,0.672
199,40,29,-3.5,1,56.5,1,1,0.615,33.77,29.46,4.31,0.846,25.38,20.54,4.84,0.7,0.771
200,35,3,-13.0,1,36.0,1,1,0.769,19.69,14.46,5.23,0.231,12.15,22.62,-10.47,0.837,0.035
201,44,20,-6.0,1,45.0,1,1,0.5379999999999999,25.69,21.77,3.92,0.5379999999999999,18.69,20.77,-2.08,0.723,0.359
202,24,3,-1.0,0,37.5,0,0,0.5,18.79,16.5,2.29,0.5,18.43,17.29,1.14,0.667,0.585
203,27,24,-6.0,0,47.5,1,0,0.35700000000000004,19.29,24.21,-4.92,0.7859999999999999,28.79,18.79,10.0,0.217,0.922
204,7,13,-15.0,0,37.5,0,0,0.214,14.29,29.29,-15.0,0.7140000000000001,20.43,9.86,10.57,0.017,0.977
205,10,13,-4.5,0,39.0,0,1,0.5,18.79,22.43,-3.64,0.28600000000000003,17.07,21.5,-4.43,0.271,0.22
206,30,22,-8.5,0,38.5,1,1,0.429,19.36,16.86,2.5,0.071,16.14,26.86,-10.72,0.678,0.053
207,17,14,-10.5,0,42.5,0,0,0.214,11.5,23.5,-12.0,0.5,23.43,20.14,3.29,0.022,0.702
208,0,24,-16.0,1,37.0,0,0,0.2,10.73,26.33,-15.6,0.7859999999999999,20.79,13.64,7.15,0.008,0.904
209,13,17,-6.5,0,36.0,0,0,0.35700000000000004,20.07,22.36,-2.29,0.7140000000000001,20.21,14.86,5.35,0.353,0.838
210,20,7,-3.0,0,47.0,0,0,0.429,23.0,22.71,0.29,0.7140000000000001,31.43,24.29,7.14,0.518,0.825
211,13,20,-3.0,0,42.0,0,1,0.7140000000000001,20.21,13.0,7.21,0.5710000000000001,27.0,21.64,5.36,0.91,0.784
212,28,33,-7.5,0,49.0,1,1,0.7859999999999999,25.64,21.93,3.71,0.5,21.64,20.07,1.57,0.712,0.604
213,23,7,-10.0,1,41.0,0,1,0.643,22.14,19.43,2.71,0.214,15.43,26.93,-11.5,0.675,0.042
214,7,10,-6.5,0,39.5,0,1,0.643,21.0,19.79,1.21,0.5710000000000001,19.79,19.79,0.0,0.582,0.5
215,17,0,-6.0,1,45.5,0,1,0.35700000000000004,25.86,27.43,-1.57,0.28600000000000003,13.79,22.71,-8.92,0.413,0.063
216,38,35,-1.0,0,49.0,1,0,0.643,24.0,15.5,8.5,0.643,34.21,29.43,4.78,0.918,0.719
217,38,9,-7.0,1,48.5,0,1,0.667,29.8,24.0,5.8,0.4,25.27,25.6,-0.33,0.785,0.481
